time_s,sensor,kind,value,sigma,holdout
0.0,P_f_in,pressure,12000000.0,30.0,0
0.4999999968,P_f_in,pressure,11801950.0,30.0,0
14.999999904,P_f_in,pressure,11800383.33333333,30.0,0
29.999999808,P_f_in,pressure,11800383.33333333,30.0,0
59.999999616,P_f_in,pressure,11800383.33333333,30.0,0
0.0,P_f_mid,pressure,12000000.0,30.0,1
0.4999999968,P_f_mid,pressure,11801450.0,30.0,1
14.999999904,P_f_mid,pressure,11800250.0,30.0,1
29.999999808,P_f_mid,pressure,11800250.0,30.0,1
59.999999616,P_f_mid,pressure,11800250.0,30.0,1
0.0,P_f_out,pressure,12000000.0,30.0,1
0.4999999968,P_f_out,pressure,11800616.66666667,30.0,1
14.999999904,P_f_out,pressure,11800116.66666667,30.0,1
29.999999808,P_f_out,pressure,11800116.66666667,30.0,1
59.999999616,P_f_out,pressure,11800116.66666667,30.0,1
0.0,P_m_in,pressure,12000000.0,2000.0,0
0.4999999968,P_m_in,pressure,11969600.0,2000.0,0
14.999999904,P_m_in,pressure,11806783.33333333,2000.0,0
29.999999808,P_m_in,pressure,11800883.33333333,2000.0,0
59.999999616,P_m_in,pressure,11800383.33333333,2000.0,0
0.0,P_m_mid,pressure,12000000.0,2000.0,0
0.4999999968,P_m_mid,pressure,11969550.0,2000.0,0
14.999999904,P_m_mid,pressure,11806650.0,2000.0,0
29.999999808,P_m_mid,pressure,11800700.0,2000.0,0
59.999999616,P_m_mid,pressure,11800250.0,2000.0,0
0.0,P_m_out,pressure,12000000.0,2000.0,0
0.4999999968,P_m_out,pressure,11969416.66666667,2000.0,0
14.999999904,P_m_out,pressure,11806516.66666667,2000.0,0
29.999999808,P_m_out,pressure,11800516.66666667,2000.0,0
59.999999616,P_m_out,pressure,11800116.66666667,2000.0,0
0.0,S_f_mid,gas_saturation,0.36200000000000004,0.03,0
0.4999999968,S_f_mid,gas_saturation,0.36500000000000016,0.03,0
14.999999904,S_f_mid,gas_saturation,0.3675,0.03,0
29.999999808,S_f_mid,gas_saturation,0.371,0.03,0
59.999999616,S_f_mid,gas_saturation,0.38200000000000006,0.03,0
0.0,S_m_mid,gas_saturation,0.36200000000000004,0.03,0
0.4999999968,S_m_mid,gas_saturation,0.36500000000000016,0.03,0
14.999999904,S_m_mid,gas_saturation,0.3675,0.03,0
29.999999808,S_m_mid,gas_saturation,0.371,0.03,0
59.999999616,S_m_mid,gas_saturation,0.38200000000000006,0.03,0
0.0,S_bulk_in,gas_saturation,0.36200000000000004,0.03,1
0.4999999968,S_bulk_in,gas_saturation,0.3658333333333335,0.03,1
14.999999904,S_bulk_in,gas_saturation,0.39066666666666644,0.03,1
29.999999808,S_bulk_in,gas_saturation,0.4116666666666668,0.03,1
59.999999616,S_bulk_in,gas_saturation,0.447625,0.03,1
0.0,S_bulk_mid,gas_saturation,0.36200000000000004,0.03,0
0.4999999968,S_bulk_mid,gas_saturation,0.36500000000000016,0.03,0
14.999999904,S_bulk_mid,gas_saturation,0.3675,0.03,0
29.999999808,S_bulk_mid,gas_saturation,0.371,0.03,0
59.999999616,S_bulk_mid,gas_saturation,0.38200000000000006,0.03,0
0.0,S_bulk_out,gas_saturation,0.36200000000000004,0.03,0
0.4999999968,S_bulk_out,gas_saturation,0.36500000000000016,0.03,0
14.999999904,S_bulk_out,gas_saturation,0.36516666666666664,0.03,0
29.999999808,S_bulk_out,gas_saturation,0.3661666666666668,0.03,0
59.999999616,S_bulk_out,gas_saturation,0.36783333333333346,0.03,0
